model_name,meeting_decision,screening_bucket,decision_reason,selected_in_final_deployment,task_type,source_doi,source_pmid,code_repository_url,benchmark_candidate,deployment_eligible,blocking_issues
BAGEL4,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/ByteDance-Seed/Bagel,True,,
BERT-AmPEP60,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction,10.1021/acs.jcim.4c01749,40086449,https://github.com/janecai0714/AMP_regression_EC_SA,True,,
BioAMPify,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / antimicrobial peptide classification,10.1007/s12602-026-11022-w,42020675,not_reported_in_available_evidence,True,,
BioPepPred-DLEmb,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,bioactive peptide prediction (including antimicrobial),10.1016/j.foodchem.2024.142464,39675273,not_reported_in_available_evidence,True,,"Only abstract available; Full text describes MAPLE, not BioPepPred-DLEmb; No code or data links"
C. acnes-targeted AMP generation pipeline (activity classifier),reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / antimicrobial peptide classification,10.1038/s41598-024-55205-3,38402320,not_reported_in_available_evidence,True,,"No code or web server available; Focused on C. acnes, not general AMP prediction; Not intended as a standalone benchmark model"
CalcAMP,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,AMP prediction,10.3390/antibiotics12040725,37107088,https://github.com/CDDLeiden/CalcAMP,True,,
CalcAMP GitHub repository,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/CDDLeiden/CalcAMP,True,,
CAMP,reject_or_hold,misretrieval_or_out_of_scope,ambiguous_model_identity_or_database_platform,False,antimicrobial peptide classification,10.3389/fmicb.2023.1125426,36834553,not_reported_in_available_evidence,True,,review_only; original_paper_needed
CAMP-RL,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,other,10.1109/jbhi.2026.3710812,42412656,not_reported_in_available_evidence,True,,"No code or web server available; Only abstract available, details unknown"
CAMPR3,reject_or_hold,misretrieval_or_out_of_scope,ambiguous_model_identity_or_database_platform,False,AMP prediction,10.1093/database/baab012,35305010,not_reported_in_available_evidence,True,,"no code, webserver only; non-reproducible locally"
CancerGram,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.1002/2211-5463.13847,38877295,not_reported_in_available_evidence,True,,"Review mentions tool, but no detailed performance data in this source"
CancerPPD2,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,anticancer peptide prediction,10.3390/md24010032,41590729,not_reported_in_available_evidence,False,,review_only; original_paper_needed
CatBoost AMP predictor,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Ronald106/Surviv.io,True,,github_search_candidate_requires_manual_verification
cdGAN,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide design (generative model with classifier),10.1093/bib/bbaf500,41137855,https://github.com/aretiz/amp_de_novo_design_cdGAN,False,,"Generative model, not a direct AMP predictor; Classifier weights not explicitly provided as standalone predictor"
CDPfold,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/zhangch994/CDPfold,True,,
CellPPD,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,AMyP prediction / cell-penetrating peptide prediction,10.1021/acs.biochem.6c00132,42045115,not_reported_in_available_evidence,True,,review_only; original_paper_needed
Co-AMPpred GitHub repository,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/onkarS23/CoAMPpred,True,,
CoAMPpred,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/onkarS23/CoAMPpred,True,,
COGclassifier,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/moshi4/COGclassifier,True,,
COMPASS database,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/aaronpk/Compass,True,,
ConsAMPHemo,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,hemolysis prediction of antimicrobial peptides,10.1002/pro.70087,40519190,https://github.com/Cpillar/ConsAMPHemo,False,,任务为溶血预测，非AMP活性预测，不属于AMP benchmark直接范畴
CPPMechPred,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,CPP uptake mechanism prediction (binary classification: endocytosis vs direct translocation),10.21203/rs.3.rs-8642513/v2,,https://github.com/Misterbra/cpp-mechanism-predictor,False,,"out_of_scope: predicts CPP uptake mechanism, not antimicrobial activity"
cvfs_hfe,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,bacteriocin prediction,10.3389/fbinf.2025.1694009,41377699,https://github.com/suraiya14/cvfs_hfe,False,,not_AMP_model; targets_bacteriocins_only
DBAASP,reject_or_hold,misretrieval_or_out_of_scope,ambiguous_model_identity_or_database_platform,False,antimicrobial peptide activity prediction,10.1002/2211-5463.13847,38877295,not_reported_in_available_evidence,True,,"Review mentions tool, but no detailed performance data in this source"
dbAMP,reject_or_hold,misretrieval_or_out_of_scope,ambiguous_model_identity_or_database_platform,False,AMP prediction and classification,10.3390/ijms22052643,33807972,not_reported_in_available_evidence,True,,webserver_only; no_algorithm_details
dbAMP 3.0 web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Nate0634034090/bug-free-memory,True,,github_search_candidate_requires_manual_verification
DDM GitHub,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/DDM-Mzp/ddm.github.io,True,,github_search_candidate_requires_manual_verification
Deep-AmPEP30 web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Chonwai/Deep_AmPEP30_R,True,,
deep_AMPpred,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/JunZhao-hash/deep_AMPpred,True,,
Deep attention based variational autoencoder,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation,10.1101/2022.07.08.499340,,not_reported_in_available_evidence,False,,Not an AMP prediction or classification model
Deep-AVPiden,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antiviral peptide prediction,10.1038/s41598-022-08876-9,37608092,not_reported_in_available_evidence,True,,"Task specificity: antiviral peptide prediction, not general antimicrobial peptide classification; may not fit standard AMP benchmarks unless they include antiviral subset."
deep-belief-network,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/albertbup/deep-belief-network,True,,
Deep learning-based AMP design for oral pathogens,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide design,10.1016/j.identj.2025.104426,,not_reported_in_available_evidence,False,,"task is design rather than classification, may not be directly comparable to AMP prediction benchmarks; no code or weights available; no dataset information"
DeepAFP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antifungal peptide prediction (AFP identification),10.1002/pro.4758,37595093,not_reported_in_available_evidence,True,,code_repository_not_found; web_server_not_found; downloadable_tool_url_missing
deepAMP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,other,10.3390/microorganisms14020394,41753681,not_reported_in_available_evidence,True,,Original paper not in this batch; details sparse; No code availability reported
DeepSeaQuence_biofilms,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/trongthucnguyen/DeepSeaQuence_biofilms,True,,
DL-QSARES,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antifungal peptide prediction/design,10.1002/advs.202412488,39921483,not_reported_in_available_evidence,True,,code not available; only abstract evidence
DLFea4AMPGen,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide design,10.1002/adma.202307680,41093853,not_reported_in_available_evidence,True,,no code or web server available
E-CLEAP GitHub repository,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Wangsicheng52/E-CLEAP,True,,github_search_candidate_requires_manual_verification
EBAMP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide design,10.1016/j.celrep.2025.116215,40906555,not_reported_in_available_evidence,True,,no code or web server available; method details not fully described
EIPpred,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,E. coli inhibitory-peptide MIC regression,10.1038/s41598-025-86638-z,39920259,https://github.com/NishaBajiya/EIPpred,False,False,out_of_scope_main_amp_binary_benchmark; mic_regression_task
EnDL-HemoLyt,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP toxicity prediction,10.3390/ijms26157387,40806517,not_reported_in_available_evidence,True,,lack of original publication details from review
esm,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/standard-things/esm,True,,
ESM2-AFPpred,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / antimicrobial peptide classification,10.1093/bib/bbac226,35724626,https://github.com/DongYin521/AFP_DL,True,,specific to antifungal peptides; removed from main AMP benchmark; no pre-trained weights
FMT-MetagenomicData,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/pointwei/FMT-MetagenomicData,True,,
FungiGuard,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antifungal peptide classification,10.1186/s13059-026-03983-6,41645295,not_reported_in_available_evidence,True,,code not available in the provided evidence
Generative AMP pipeline (VINCI),reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation and MIC prediction,10.64898/2026.06.16.732639,,not_reported_in_available_evidence,True,,code link not found in abstract; full text needed for repository access
Generative approach for precision antimicrobial peptide design,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / antimicrobial peptide design,10.1101/2020.10.02.324087,30255784,not_reported_in_available_evidence,True,,"No code or data available; Preprint only (not peer-reviewed); Model details (architecture, hyperparameters) not fully described in abstract"
GPR-based antifungal peptide selectivity predictor,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction,10.1007/s00726-023-03245-w,40028619,not_reported_in_available_evidence,True,,Specific to antifungal peptides containing non-canonical β-amino acids; No code or data availability reported; Regression model rather than binary classifier
HAPPENN,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,hemolysis_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,False,,webserver_only; out_of_scope_for_AMP_benchmark
HemoPred,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,hemolysis_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,False,,webserver_only; out_of_scope
HMAMP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation / multi-objective optimization,10.1016/j.sbi.2023.102733,37992451,not_reported_in_available_evidence,True,,Code not reported in this evidence
HydraAMP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide design,10.1371/journal.pone.0045012,23056189,https://github.com/szczurek-lab/hydramp,True,,github_search_candidate_requires_manual_verification
iACP,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,anticancer_peptide_prediction,10.1038/s41598-020-74017-9,33037295,not_reported_in_available_evidence,False,,not_amp_predictor
iAFP-fLRM,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antifungal peptide classification,10.1016/j.bpc.2026.107591,41653519,https://github.com/blue-tsuki/iAFP-fLRM,True,,
iblapps,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/int-brain-lab/iblapps,True,,
Insect VGSC inhibitor prediction model,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,other,10.1016/j.jmgm.2026.109398,41967251,not_reported_in_available_evidence,False,,task is not AMP prediction
InversePep,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,peptide inverse folding / design,10.1093/bib/bbag277,42218716,https://github.com/drugparadigm/InversePep,False,,not an AMP classifier; model is for inverse folding design; no AMP prediction task
kneaddata,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/biobakery/kneaddata,True,,
Lab,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/google-deepmind/lab,True,,
learning_sequence_motifs,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/p-koo/learning_sequence_motifs,True,,github_search_candidate_requires_manual_verification
LightGBM,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/lightgbm-org/LightGBM,True,,
LinearDisplay,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/JCVenterInstitute/LinearDisplay,True,,github_search_candidate_requires_manual_verification
LMPred_AMP_Prediction,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/williamdee1/LMPred_AMP_Prediction,True,,
LSTM-based AMP design model,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP design / prediction,10.1074/jbc.m117.805499,29259134,not_reported_in_available_evidence,True,,no code available in evidence; no model weights
LysePred,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/lincubator/LysePred,True,,
macrel2020benchmark,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/BigDataBiology/macrel2020benchmark,True,,
MAPLE GitHub,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Violet-maple/Violet-maple.github.io,True,,
MAPLE GitHub repository,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/abdulrahmanbinayub-maker/maple-github-repository,True,,
MBC-attention,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction (MIC regression),10.3390/ijms26157387,40806517,not_reported_in_available_evidence,True,,lack of original publication details from review
MetagenomicDC,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/IcarPA-TBlab/MetagenomicDC,True,,
MetaPepticon,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,anticancer peptide prediction from (meta)genomes,10.1371/journal.pone.0045012,23056189,https://github.com/arikanlab/MetaPepticon,True,,github_search_candidate_requires_manual_verification
MIC prediction ensemble model (BiLSTM-CNN-MBM),reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / MIC prediction,10.48550/arXiv.1810.11363,39262770,not_reported_in_available_evidence,True,,
ML-guided directed evolution for AMP development,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,other,10.1021/cr400031z,38431124,not_reported_in_available_evidence,True,,"No code available; Limited evidence (abstract only, full-text cache mismatch); DOI mismatch with journal (likely wrong article identifier)"
MoFormer,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation / multi-objective optimization,10.1016/j.sbi.2023.102733,37992451,https://github.com/wl-wl/MOFormer,True,,Code not reported in this evidence
msaconverter,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/linzhi2013/msaconverter,True,,
MSCMamba,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,AMP activity value prediction (regression),10.1021/acs.jpcb.4c07752,39915928,not_reported_in_available_evidence,True,,No code or dataset links in evidence; full text unavailable
Multifunctional AMP Design Framework (FBGAN-enhanced),reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.3390/ijms26157387,40806517,not_reported_in_available_evidence,True,,code not available; no web server
nov-fams-pipeline,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/AlvaroRodriguezDelRio/nov-fams-pipeline,True,,
Npx,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/zkat/npx,True,,
NSGA-II-GRU AMP designer,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,AMP activity prediction (MIC),10.3390/ijms252413688,39769451,not_reported_in_available_evidence,True,,"No code or web server available; Task is MIC prediction, not binary AMP/non-AMP classification; Limited experimental validation"
PandoraGAN,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification/design,10.1007/s11831-023-09933-w,37359746,not_reported_in_available_evidence,True,,no URL or code; review evidence; design rather than pure classification; original paper needed
PC6-protein-encoding-method,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/LinTzuTang/PC6-protein-encoding-method,True,,
PepCVAE,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation,10.1016/j.sbi.2023.102733,37992451,not_reported_in_available_evidence,True,,Code not reported in this evidence
PepForge,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.64898/2026.05.29.728379,39705302,https://github.com/wqx1999/PepForge,True,,github_search_candidate_requires_manual_verification
PepGen 1.0,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / antimicrobial peptide generation,10.1007/s00284-025-04346-3,40643674,not_reported_in_available_evidence,True,,No source code repository found; only a shortened URL provided.
PepGen 1.0 web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Nate0634034090/nate.283090,True,,github_search_candidate_requires_manual_verification
PepNet web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/VeniQs02/pep.net-web-app,True,,github_search_candidate_requires_manual_verification
PepProtGraphAnalyzer,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/cicese-biocom/PepProtGraphAnalyzer,True,,
PeptideRanker,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,general peptide bioactivity prediction (including antimicrobial),10.1371/journal.pone.0045012,23056189,not_reported_in_available_evidence,True,,not_amp_predictor
PepVAE,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / antimicrobial peptide classification,10.3389/fmicb.2021.725727,34659152,not_reported_in_available_evidence,True,,github_search_candidate_requires_manual_verification
phy,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/lo-th/phy,True,,github_search_candidate_requires_manual_verification
PLUM,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,antimicrobial peptide generation and classification,10.64898/2026.02.21.707214,42124643,https://github.com/priyamayur/PLUM,True,,
PLUM GitHub,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/purpleplum456/purple-plum-GitHub,True,,
PPGC-DVAE,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide generation,10.1093/bioinformatics/btaf069,39932977,https://github.com/David-WZhao/PPGC-DVAE,False,,
PrefixProt,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation / protein design,10.1016/j.sbi.2023.102733,37992451,not_reported_in_available_evidence,True,,Code not reported in this evidence
PrMFTP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,"multi-functional therapeutic peptide prediction (including AMP classes like ABP, AFP, AVP, etc.)",10.1371/journal.pcbi.1010511,36094961,not_reported_in_available_evidence,True,,github_search_candidate_requires_manual_verification
PRRSV-AVPeP-ML-Omics,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.3389/fvets.2025.1681083,41427144,https://github.com/Wafa-Yousaf/PRRSV-AVPeP-ML-Omics,True,,
Red Sea anticancer peptide SVM model,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,anticancer peptide prediction,10.1101/2022.01.06.475234,41143210,not_reported_in_available_evidence,False,,task is anticancer peptide prediction; no code; preprint with no full text
Sequential Properties RNN model,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / antimicrobial peptide classification,10.1021/acs.jcim.2c00526,35704881,https://github.com/LZW-TECH/SA-MTP,True,,"evidence_mismatch: Fulltext for this paper contains text about SA-MTP framework, unrelated to the described RNN model. Linked GitHub repository (SA-MTP) likely belongs to a different study. True model and code remain uncertain.; needs_full_text_verification"
shap,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/shap/shap,True,,github_search_candidate_requires_manual_verification
soft-neighbors-supported-clustering,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/DuannYu/soft-neighbors--supported-clustering,True,,github_search_candidate_requires_manual_verification
SSEL-CPP,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,other,10.1016/j.compbiomed.2025.110668,40614519,https://github.com/ChanwooKwon/SSEL-CPP.,False,,task is not AMP prediction
StackEnPred,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/NK12131/Bankruptcy-Prediction-Using-Financial-KPIs-ML-Pipeline-with-SMOTE-PCA-Stacked-Ensemble,True,,github_search_candidate_requires_manual_verification
STAMP,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,AMP activity prediction (MIC prediction),10.64898/2026.05.28.728246,42155201,not_reported_in_available_evidence,True,,No code available in abstract
StarPep,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Grupo-Medicina-Molecular-y-Traslacional/StarPep,True,,
Top-ML,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,other,10.48550/arXiv.2407.08974,40229641,not_reported_in_available_evidence,False,,task is not AMP prediction
ToxIBTL,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,toxicity_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,False,,webserver_only; out_of_scope
ToxinPred,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,toxicity_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,False,,webserver_only; out_of_scope
TP-LMMSG,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,"therapeutic peptide prediction (including AMP, antiviral, anticancer)",10.1093/bib/bbag107,41978380,https://github.com/NanjunChen37/TP_LMMSG,True,,review-level evidence; needs original paper verification
TransDecoder,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/TransDecoder/TransDecoder,True,,
Two_Level_Ensemble-classifier-chain,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/kkzheng/Two_Level_Ensemble-classifier-chain,True,,
Two-stage AVP prediction framework,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.1093/bib/bbae208,38706321,not_reported_in_available_evidence,True,,"fulltext mismatch: retrieved fulltext appears to be a different paper, unable to verify details"
UniAMP web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Dextro86/Webasto-Ampure-Unite-Home-Assistant-custom-integration,True,,github_search_candidate_requires_manual_verification
Unnamed CVAE-diffusion AMP generator,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation and activity prediction,10.1371/journal.pcbi.1013833,41460918,not_reported_in_available_evidence,True,,Code not available; No public web server or weights
Urchin,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/duckyb/urchin,True,,
Venomics artificial intelligence,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,unknown (likely venom-related WhatsApp bot),10.1371/journal.pone.0045012,23056189,https://github.com/vynect/venom,True,,github_search_candidate_requires_manual_verification
VirSorter2,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/jiarong/VirSorter2,True,,
3D structure-based AMP activity prediction model,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,AMP prediction,10.1038/s41598-018-29566-5,30046138,not_reported_in_available_evidence,True,,abstract only; full text mismatch; no code or dataset links
ABP-Finder,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,antimicrobial peptide classification,10.3390/antibiotics11121708,36551365,not_reported_in_available_evidence,True,,"no code; no weights; webserver only, no batch inference"
ADAPT,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,antimicrobial peptide activity prediction,10.1002/advs.202518522,41532671,not_reported_in_available_evidence,True,,"no code, no dataset, abstract only"
ADAPTABLE,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,antimicrobial peptide classification,10.1016/j.ijbiomac.2025.144938,40473156,not_reported_in_available_evidence,True,,No details available; only mentioned in abstract; needs original paper
AExOp-DCS-SEQ,reject_or_hold,relevant_but_not_deployable,failed_deployment_readiness_gate,False,antimicrobial peptide classification,10.1021/acs.jcim.5c00600,40528473,https://github.com/cicese-biocom/aexop-api,True,,"dataset contamination: includes antiviral and antifungal sub-classes, violating pure AMP binary classification; no negative sample description, no download links; inappropriate for main benchmark"
AGRAMP,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,antimicrobial peptide classification,10.3389/fmicb.2024.1304044,38516021,not_reported_in_available_evidence,True,,web server URL not found in available evidence; no code repository or model weights reported
AI-driven AMP motif analysis framework,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,AMP prediction / antimicrobial peptide classification,10.1038/s41598-025-30419-1,41461873,not_reported_in_available_evidence,True,,no code available; no explicit external test dataset; no web server or downloadable weights
Akbar et al. ensemble predictor,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,antimicrobial peptide classification,10.1007/s11831-023-09933-w,37359746,not_reported_in_available_evidence,True,,no URL or code; review evidence; original paper not verified
Al-Omari 2024 AMP prediction model,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,antimicrobial peptide classification,10.1371/journal.pone.0315477,39705302,not_reported_in_available_evidence,True,,Code not available
AMAP,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,AMPs prediction,10.1093/bib/bbac343,35988923,not_reported_in_available_evidence,True,,Original code not available
AMP-CapsNet,reject_or_hold,relevant_but_not_deployable,missing_code_repository,False,AMP prediction,10.1186/s44342-026-00067-6,41654884,not_reported_in_available_evidence,True,,No code or model weights publicly available; Dataset not independently accessible
